SlNo,Year,Month,Rainfall,YearMonth
1,1871,1,855,22453
2,1871,2,6,22454
3,1871,3,293,22455
4,1871,4,265,22456
5,1871,5,1291,22457
6,1871,6,1083,22458
7,1871,7,1035,22459
8,1871,8,689,22460
9,1871,9,1286,22461
10,1871,10,870,22462
11,1871,11,693,22463
12,1871,12,5,22464
13,1872,1,0,22465
14,1872,2,24,22466
15,1872,3,1,22467
16,1872,4,192,22468
17,1872,5,975,22469
18,1872,6,811,22470
19,1872,7,1313,22471
20,1872,8,856,22472
21,1872,9,1143,22473
22,1872,10,850,22474
23,1872,11,313,22475
24,1872,12,454,22476
25,1873,1,0,22477
26,1873,2,105,22478
27,1873,3,1,22479
28,1873,4,500,22480
29,1873,5,845,22481
30,1873,6,773,22482
31,1873,7,960,22483
32,1873,8,1316,22484
33,1873,9,953,22485
34,1873,10,2391,22486
35,1873,11,51,22487
36,1873,12,35,22488
37,1874,1,0,22489
38,1874,2,0,22490
39,1874,3,0,22491
40,1874,4,121,22492
41,1874,5,2030,22493
42,1874,6,1433,22494
43,1874,7,1706,22495
44,1874,8,1011,22496
45,1874,9,2158,22497
46,1874,10,2055,22498
47,1874,11,217,22499
48,1874,12,93,22500
49,1875,1,6,22501
50,1875,2,0,22502
51,1875,3,296,22503
52,1875,4,70,22504
53,1875,5,715,22505
54,1875,6,1166,22506
55,1875,7,1163,22507
56,1875,8,665,22508
57,1875,9,569,22509
58,1875,10,637,22510
59,1875,11,55,22511
60,1875,12,63,22512
61,1876,1,0,22513
62,1876,2,0,22514
63,1876,3,305,22515
64,1876,4,292,22516
65,1876,5,703,22517
66,1876,6,695,22518
67,1876,7,1433,22519
68,1876,8,1003,22520
69,1876,9,492,22521
70,1876,10,158,22522
71,1876,11,73,22523
72,1876,12,0,22524
73,1877,1,0,22525
74,1877,2,0,22526
75,1877,3,167,22527
76,1877,4,472,22528
77,1877,5,490,22529
78,1877,6,1428,22530
79,1877,7,452,22531
80,1877,8,951,22532
81,1877,9,1778,22533
82,1877,10,2405,22534
83,1877,11,447,22535
84,1877,12,216,22536
85,1878,1,0,22537
86,1878,2,0,22538
87,1878,3,151,22539
88,1878,4,575,22540
89,1878,5,965,22541
90,1878,6,890,22542
91,1878,7,1241,22543
92,1878,8,2086,22544
93,1878,9,1485,22545
94,1878,10,1296,22546
95,1878,11,297,22547
96,1878,12,48,22548
97,1879,1,18,22549
98,1879,2,140,22550
99,1879,3,156,22551
100,1879,4,252,22552
101,1879,5,2003,22553
102,1879,6,1080,22554
103,1879,7,1873,22555
104,1879,8,1269,22556
105,1879,9,741,22557
106,1879,10,1235,22558
107,1879,11,253,22559
108,1879,12,22,22560
109,1880,1,22,22561
