Week,Weekly market share data of Crest toothpaste from Junuary 1958 to April 1963
0001-W-99136,0.11
0001-W-99135,0.17
0001-W-99134,0.13
0001-W-99133,0.12
0001-W-99132,0.12
0001-W-99131,0.18
0001-W-99130,0.16
0001-W-99129,0.12
0001-W-99128,0.14
0001-W-99127,0.14
0001-W-99126,0.12
0001-W-99125,0.13
0001-W-99124,0.12
0001-W-99123,0.13
0001-W-99122,0.07
0001-W-99121,0.09
0001-W-99120,0.14
0001-W-99119,0.12
0001-W-99118,0.11
0001-W-99117,0.08
0001-W-99116,0.13
0001-W-99115,0.14
0001-W-99114,0.12
0001-W-99113,0.12
0001-W-99112,0.1
0001-W-99111,0.08
0001-W-99110,0.09
0001-W-99109,0.09
0001-W-99108,0.1
0001-W-99107,0.08
0001-W-99106,0.1
0001-W-99105,0.09
0001-W-99104,0.06
0001-W-99103,0.05
0001-W-99102,0.07
0001-W-99101,0.09
0001-W-99100,0.09
0001-W-99099,0.12
0001-W-99098,0.15
0001-W-99097,0.08
0001-W-99096,0.11
0001-W-99095,0.09
0001-W-99094,0.17
0001-W-99093,0.16
0001-W-99092,0.08
0001-W-99091,0.12
0001-W-99090,0.1
0001-W-99089,0.1
0001-W-99088,0.13
0001-W-99087,0.15
0001-W-99086,0.14
0001-W-99085,0.09
0002-W-99136,0.09
0002-W-99135,0.17
0002-W-99134,0.11
0002-W-99133,0.1
0002-W-99132,0.1
0002-W-99131,0.09
0002-W-99130,0.13
0002-W-99129,0.12
0002-W-99128,0.14
0002-W-99127,0.11
0002-W-99126,0.11
0002-W-99125,0.1
0002-W-99124,0.13
0002-W-99123,0.16
0002-W-99122,0.15
0002-W-99121,0.1
0002-W-99120,0.13
0002-W-99119,0.13
0002-W-99118,0.17
0002-W-99117,0.18
0002-W-99116,0.17
0002-W-99115,0.21
0002-W-99114,0.22
0002-W-99113,0.16
0002-W-99112,0.2
0002-W-99111,0.2
0002-W-99110,0.25
0002-W-99109,0.15
0002-W-99108,0.13
0002-W-99107,0.24
0002-W-99106,0.19
0002-W-99105,0.15
0002-W-99104,0.22
0002-W-99103,0.18
0002-W-99102,0.14
0002-W-99101,0.21
0002-W-99100,0.13
0002-W-99099,0.14
0002-W-99098,0.19
0002-W-99097,0.19
0002-W-99096,0.11
0002-W-99095,0.23
0002-W-99094,0.15
0002-W-99093,0.16
0002-W-99092,0.11
0002-W-99091,0.16
0002-W-99090,0.05
0002-W-99089,0.11
0002-W-99088,0.08
0002-W-99087,0.19
0002-W-99086,0.15
0002-W-99085,0.14
0003-W-99136,0.09
0003-W-99135,0.18
0003-W-99134,0.21
0003-W-99133,0.21
0003-W-99132,0.19
0003-W-99131,0.2
0003-W-99130,0.18
0003-W-99129,0.27
0003-W-99128,0.2
0003-W-99127,0.17
0003-W-99126,0.14
0003-W-99125,0.22
0003-W-99124,0.13
0003-W-99123,0.12
0003-W-99122,0.08
0003-W-99121,0.12
0003-W-99120,0.13
0003-W-99119,0.11
0003-W-99118,0.12
0003-W-99117,0.15
0003-W-99116,0.12
0003-W-99115,0.13
0003-W-99114,0.13
0003-W-99113,0.13
0003-W-99112,0.16
0003-W-99111,0.14
0003-W-99110,0.14
0003-W-99109,0.13
0003-W-99108,0.17
0003-W-99107,0.15
0003-W-99106,0.21
0003-W-99105,0.31
0003-W-99104,0.24
0003-W-99103,0.38
0003-W-99102,0.36
0003-W-99101,0.33
0003-W-99100,0.36
0003-W-99099,0.35
0003-W-99098,0.32
0003-W-99097,0.33
0003-W-99096,0.37
0003-W-99095,0.37
0003-W-99094,0.31
0003-W-99093,0.3
0003-W-99092,0.31
0003-W-99091,0.32
0003-W-99090,0.28
0003-W-99089,0.3
0003-W-99088,0.34
0003-W-99087,0.34
0003-W-99086,0.34
0003-W-99085,0.31
0004-W-99137,0.32
0004-W-99136,0.37
0004-W-99135,0.32
0004-W-99134,0.29
0004-W-99133,0.36
0004-W-99132,0.24
0004-W-99131,0.32
0004-W-99130,0.34
0004-W-99129,0.29
0004-W-99128,0.34
0004-W-99127,0.19
0004-W-99126,0.41
0004-W-99125,0.37
0004-W-99124,0.27
0004-W-99123,0.32
0004-W-99122,0.25
0004-W-99121,0.33
0004-W-99120,0.37
0004-W-99119,0.29
0004-W-99118,0.37
0004-W-99117,0.41
0004-W-99116,0.32
0004-W-99115,0.36
0004-W-99114,0.31
0004-W-99113,0.29
0004-W-99112,0.42
0004-W-99111,0.3
0004-W-99110,0.38
0004-W-99109,0.35
0004-W-99108,0.42
0004-W-99107,0.43
0004-W-99106,0.45
0004-W-99105,0.41
0004-W-99104,0.28
0004-W-99103,0.41
0004-W-99102,0.43
0004-W-99101,0.36
0004-W-99100,0.39
0004-W-99099,0.38
0004-W-99098,0.27
0004-W-99097,0.24
0004-W-99096,0.33
0004-W-99095,0.34
0004-W-99094,0.4
0004-W-99093,0.36
0004-W-99092,0.3
0004-W-99091,0.31
0004-W-99090,0.39
0004-W-99089,0.3
0004-W-99088,0.38
0004-W-99087,0.35
0004-W-99086,0.44
0005-W-99136,0.36
0005-W-99135,0.43
0005-W-99134,0.43
0005-W-99133,0.45
0005-W-99132,0.53
0005-W-99131,0.43
0005-W-99130,0.42
0005-W-99129,0.41
0005-W-99128,0.42
0005-W-99127,0.43
0005-W-99126,0.39
0005-W-99125,0.39
0005-W-99124,0.39
0005-W-99123,0.44
0005-W-99122,0.42
0005-W-99121,0.36
0005-W-99120,0.4
0005-W-99119,0.39
0005-W-99118,0.46
0005-W-99117,0.44
0005-W-99116,0.39
0005-W-99115,0.37
0005-W-99114,0.39
0005-W-99113,0.31
0005-W-99112,0.35
0005-W-99111,0.41
0005-W-99110,0.34
0005-W-99109,0.36
0005-W-99108,0.41
0005-W-99107,0.38
0005-W-99106,0.27
0005-W-99105,0.35
0005-W-99104,0.44
0005-W-99103,0.36
0005-W-99102,0.44
0005-W-99101,0.41
0005-W-99100,0.38
0005-W-99099,0.36
0005-W-99098,0.37
0005-W-99097,0.37
0005-W-99096,0.35
0005-W-99095,0.38
0005-W-99094,0.33
0005-W-99093,0.47
0005-W-99092,0.4
0005-W-99091,0.44
0005-W-99090,0.42
0005-W-99089,0.43
0005-W-99088,0.39
0005-W-99087,0.45
0005-W-99086,0.32
0005-W-99085,0.41
0006-W-99136,0.4
0006-W-99135,0.42
0006-W-99134,0.43
0006-W-99133,0.45
0006-W-99132,0.43
0006-W-99131,0.33
0006-W-99130,0.39
0006-W-99129,0.38
0006-W-99128,0.47
0006-W-99127,0.48
0006-W-99126,0.37
0006-W-99125,0.47
0006-W-99124,0.4
0006-W-99123,0.39
0006-W-99122,0.47
0006-W-99121,0.38
